Unnamed: 0,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
3039,3040,59,Female,Blouse,Clothing,48,Alabama,Blue,Spring,3.2,No,Next Day Air,No,No,31,PayPal,Bi-Weekly
1373,1374,18,Male,Gloves,Accessories,40,Virginia,Turquoise,Winter,2.6,No,Store Pickup,Yes,Yes,6,Cash,Quarterly
1861,1862,29,Male,Sneakers,Footwear,60,South Dakota,Peach,Fall,3.6,No,Standard,No,No,19,Debit Card,Monthly
838,839,33,Male,Coat,Outerwear,29,Kentucky,Gray,Spring,4.3,Yes,Express,Yes,Yes,49,Credit Card,Annually
2293,2294,37,Male,Sweater,Clothing,68,Georgia,Green,Fall,3.3,No,Express,No,No,16,Debit Card,Every 3 Months
727,728,62,Male,Sweater,Clothing,97,Arkansas,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months
3403,3404,30,Female,Boots,Footwear,65,Illinois,Olive,Summer,3.9,No,Standard,No,No,1,Cash,Bi-Weekly
2344,2345,34,Male,Sandals,Footwear,92,Rhode Island,Lavender,Fall,3.5,No,Express,No,No,14,Venmo,Bi-Weekly
1488,1489,23,Male,Hat,Accessories,44,Hawaii,Pink,Winter,4.0,No,Standard,Yes,Yes,37,Credit Card,Weekly
449,450,26,Male,Jewelry,Accessories,45,New York,Peach,Summer,2.9,Yes,2-Day Shipping,Yes,Yes,35,Bank Transfer,Monthly
2304,2305,26,Male,Hoodie,Clothing,73,Louisiana,Silver,Winter,4.7,No,Free Shipping,No,No,9,Debit Card,Fortnightly
376,377,51,Male,Shoes,Footwear,51,South Carolina,Gray,Fall,4.9,Yes,Express,Yes,Yes,2,Venmo,Bi-Weekly
2476,2477,60,Male,Hat,Accessories,60,Colorado,Turquoise,Summer,3.7,No,Next Day Air,No,No,28,Cash,Monthly
1106,1107,52,Male,Skirt,Clothing,96,Minnesota,Violet,Winter,3.6,No,Store Pickup,Yes,Yes,12,Venmo,Fortnightly
2459,2460,47,Male,Socks,Clothing,36,Missouri,Violet,Fall,4.3,No,2-Day Shipping,No,No,14,Cash,Weekly
433,434,49,Male,Skirt,Clothing,92,Alabama,Orange,Fall,3.2,Yes,Store Pickup,Yes,Yes,23,Credit Card,Fortnightly
2024,2025,62,Male,Socks,Clothing,23,Arkansas,Silver,Fall,3.7,No,Express,No,No,39,PayPal,Weekly
371,372,27,Male,Sneakers,Footwear,83,North Carolina,Pink,Winter,3.2,Yes,2-Day Shipping,Yes,Yes,47,PayPal,Monthly
3201,3202,46,Female,Pants,Clothing,38,Vermont,Indigo,Fall,2.8,No,2-Day Shipping,No,No,34,Cash,Monthly
3730,3731,46,Female,Shirt,Clothing,79,Florida,Teal,Summer,2.5,No,2-Day Shipping,No,No,3,Credit Card,Bi-Weekly
3319,3320,23,Female,Shorts,Clothing,31,North Dakota,Indigo,Summer,4.3,No,Next Day Air,No,No,17,Credit Card,Every 3 Months
700,701,57,Male,Pants,Clothing,79,Wisconsin,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,Monthly
1501,1502,37,Male,Jeans,Clothing,55,Alaska,Silver,Spring,2.7,No,Standard,Yes,Yes,13,Debit Card,Every 3 Months
644,645,68,Male,Backpack,Accessories,93,Louisiana,Blue,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Weekly
2788,2789,56,Female,Boots,Footwear,92,Rhode Island,Olive,Summer,3.1,No,Free Shipping,No,No,2,Credit Card,Annually
665,666,41,Male,Pants,Clothing,55,New Mexico,Peach,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
1429,1430,24,Male,Skirt,Clothing,38,Maryland,Gold,Fall,4.7,No,Standard,Yes,Yes,6,Credit Card,Every 3 Months
1726,1727,57,Male,Coat,Outerwear,28,Indiana,Olive,Summer,2.8,No,Express,No,No,45,Debit Card,Weekly
2206,2207,46,Male,Sandals,Footwear,51,Illinois,Green,Spring,2.6,No,Store Pickup,No,No,25,Bank Transfer,Fortnightly
2159,2160,18,Male,Shirt,Clothing,58,Louisiana,Peach,Fall,3.0,No,Free Shipping,No,No,34,Cash,Annually
1632,1633,35,Male,Gloves,Accessories,28,Oregon,White,Summer,4.7,No,2-Day Shipping,Yes,Yes,50,Debit Card,Every 3 Months
1075,1076,57,Male,Sunglasses,Accessories,50,Missouri,Indigo,Summer,4.9,No,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly
794,795,69,Male,Backpack,Accessories,50,Kentucky,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,Fortnightly
3504,3505,65,Female,Handbag,Accessories,41,Hawaii,Violet,Fall,4.0,No,Next Day Air,No,No,50,Venmo,Monthly
246,247,35,Male,Sunglasses,Accessories,86,Nevada,Beige,Spring,3.2,Yes,Express,Yes,Yes,20,Venmo,Bi-Weekly
952,953,36,Male,Hat,Accessories,71,Idaho,Red,Fall,3.1,Yes,2-Day Shipping,Yes,Yes,28,PayPal,Monthly
734,735,65,Male,Shirt,Clothing,69,New Jersey,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,Every 3 Months
505,506,61,Male,T-shirt,Clothing,63,Maine,Gray,Spring,4.3,Yes,Express,Yes,Yes,9,Cash,Bi-Weekly
1721,1722,34,Male,Jewelry,Accessories,28,Delaware,Magenta,Spring,4.3,No,Free Shipping,No,No,24,Credit Card,Monthly
862,863,19,Male,Coat,Outerwear,84,Arkansas,Charcoal,Winter,4.9,Yes,Standard,Yes,Yes,13,PayPal,Fortnightly
2090,2091,51,Male,Socks,Clothing,71,Massachusetts,Teal,Winter,3.4,No,Free Shipping,No,No,21,Debit Card,Monthly
3360,3361,22,Female,Jacket,Outerwear,81,Minnesota,Maroon,Spring,3.3,No,2-Day Shipping,No,No,47,Cash,Every 3 Months
3480,3481,21,Female,Sandals,Footwear,79,New Hampshire,Peach,Winter,3.5,No,Free Shipping,No,No,45,PayPal,Monthly
532,533,26,Male,Pants,Clothing,76,Texas,Black,Winter,4.1,Yes,Express,Yes,Yes,35,Bank Transfer,Every 3 Months
108,109,70,Male,Socks,Clothing,79,Montana,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
1770,1771,53,Male,Backpack,Accessories,22,Michigan,Pink,Fall,4.3,No,Express,No,No,34,Bank Transfer,Weekly
2149,2150,38,Male,Sandals,Footwear,21,Hawaii,Orange,Winter,4.0,No,Standard,No,No,1,Bank Transfer,Weekly
2353,2354,56,Male,Handbag,Accessories,71,Montana,White,Fall,4.1,No,Standard,No,No,25,Debit Card,Every 3 Months
1784,1785,32,Male,Backpack,Accessories,31,Louisiana,Yellow,Summer,4.8,No,Standard,No,No,4,Debit Card,Quarterly
3306,3307,63,Female,Jacket,Outerwear,39,Colorado,Orange,Summer,3.6,No,Store Pickup,No,No,6,Venmo,Fortnightly
3661,3662,63,Female,Sandals,Footwear,39,Kansas,White,Winter,3.5,No,Next Day Air,No,No,5,Credit Card,Fortnightly
543,544,53,Male,Skirt,Clothing,98,Alabama,Red,Spring,4.3,Yes,Express,Yes,Yes,11,Credit Card,Monthly
2528,2529,52,Male,Jewelry,Accessories,47,Alabama,Peach,Fall,4.7,No,2-Day Shipping,No,No,31,Debit Card,Monthly
3628,3629,53,Female,Blouse,Clothing,88,Georgia,Purple,Summer,3.8,No,Free Shipping,No,No,35,Credit Card,Monthly
3770,3771,23,Female,Pants,Clothing,42,Montana,Black,Summer,4.0,No,Store Pickup,No,No,34,Bank Transfer,Weekly
259,260,32,Male,Jeans,Clothing,57,Louisiana,Gold,Fall,2.9,Yes,Standard,Yes,Yes,13,Debit Card,Annually
2924,2925,47,Female,Shirt,Clothing,64,Rhode Island,Indigo,Winter,3.7,No,Free Shipping,No,No,37,Debit Card,Every 3 Months
1684,1685,30,Male,Shirt,Clothing,93,New Mexico,Indigo,Spring,4.6,No,Standard,No,No,28,PayPal,Weekly
1765,1766,68,Male,Hoodie,Clothing,88,New Mexico,Orange,Spring,4.1,No,2-Day Shipping,No,No,41,Venmo,Quarterly
612,613,67,Male,Hat,Accessories,43,New Hampshire,Lavender,Fall,4.6,Yes,Express,Yes,Yes,33,Credit Card,Quarterly
1255,1256,30,Male,Hat,Accessories,68,Indiana,Peach,Fall,4.1,No,Standard,Yes,Yes,38,Cash,Fortnightly
1660,1661,59,Male,T-shirt,Clothing,45,Louisiana,Yellow,Winter,4.1,No,Standard,Yes,Yes,37,Venmo,Monthly
219,220,32,Male,Belt,Accessories,88,Nevada,Cyan,Spring,3.0,Yes,Free Shipping,Yes,Yes,12,Cash,Fortnightly
485,486,48,Male,Shoes,Footwear,44,Tennessee,Blue,Spring,2.6,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
2258,2259,24,Male,T-shirt,Clothing,71,Ohio,Cyan,Winter,4.3,No,Store Pickup,No,No,44,Credit Card,Every 3 Months
3434,3435,31,Female,Pants,Clothing,72,Ohio,Orange,Summer,3.3,No,2-Day Shipping,No,No,6,Venmo,Fortnightly
1185,1186,47,Male,Jeans,Clothing,64,Maine,Magenta,Spring,3.9,No,Standard,Yes,Yes,29,Credit Card,Monthly
258,259,61,Male,Gloves,Accessories,74,Alabama,Lavender,Spring,2.8,Yes,Express,Yes,Yes,16,Cash,Quarterly
386,387,64,Male,Jewelry,Accessories,39,Louisiana,Brown,Spring,3.4,Yes,Express,Yes,Yes,40,PayPal,Quarterly
847,848,53,Male,Hoodie,Clothing,44,New Jersey,Blue,Fall,4.1,Yes,Standard,Yes,Yes,30,PayPal,Monthly
3596,3597,28,Female,Hoodie,Clothing,83,South Carolina,Charcoal,Spring,4.3,No,Standard,No,No,44,Cash,Fortnightly
3675,3676,70,Female,Hat,Accessories,80,Virginia,White,Winter,4.5,No,Express,No,No,3,Bank Transfer,Monthly
915,916,31,Male,Dress,Clothing,22,Rhode Island,Purple,Winter,2.9,Yes,Store Pickup,Yes,Yes,33,Credit Card,Fortnightly
3623,3624,39,Female,Jewelry,Accessories,89,Arkansas,Violet,Winter,2.7,No,2-Day Shipping,No,No,4,PayPal,Weekly
2828,2829,25,Female,Scarf,Accessories,83,Tennessee,Lavender,Fall,2.6,No,Standard,No,No,33,PayPal,Quarterly
1539,1540,32,Male,Belt,Accessories,55,Hawaii,Turquoise,Spring,5.0,No,2-Day Shipping,Yes,Yes,19,Cash,Every 3 Months
912,913,24,Male,Hoodie,Clothing,56,Arkansas,Green,Winter,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Monthly
209,210,55,Male,Sandals,Footwear,97,Minnesota,Olive,Winter,3.2,Yes,Store Pickup,Yes,Yes,44,Cash,Every 3 Months
3792,3793,43,Female,Scarf,Accessories,58,Massachusetts,Turquoise,Summer,2.6,No,Express,No,No,2,PayPal,Fortnightly
2155,2156,32,Male,Handbag,Accessories,51,Hawaii,Yellow,Fall,3.7,No,Store Pickup,No,No,46,PayPal,Monthly
3519,3520,31,Female,Shorts,Clothing,66,Wisconsin,White,Winter,3.7,No,Next Day Air,No,No,14,Bank Transfer,Fortnightly
3386,3387,34,Female,T-shirt,Clothing,62,Michigan,Lavender,Fall,2.6,No,2-Day Shipping,No,No,36,Cash,Quarterly
2107,2108,46,Male,Pants,Clothing,75,Delaware,Black,Winter,3.3,No,Standard,No,No,35,PayPal,Quarterly
596,597,23,Male,Shoes,Footwear,37,Montana,White,Summer,4.5,Yes,Store Pickup,Yes,Yes,36,Venmo,Annually
3748,3749,34,Female,Backpack,Accessories,25,Delaware,Violet,Fall,3.9,No,2-Day Shipping,No,No,3,Venmo,Annually
1330,1331,30,Male,Handbag,Accessories,65,Vermont,Charcoal,Fall,2.9,No,Standard,Yes,Yes,20,PayPal,Bi-Weekly
296,297,25,Male,Sandals,Footwear,74,Indiana,Lavender,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,19,Credit Card,Weekly
1960,1961,57,Male,Jeans,Clothing,72,Massachusetts,Red,Summer,3.3,No,2-Day Shipping,No,No,40,Credit Card,Annually
507,508,65,Male,Shorts,Clothing,20,Maine,Magenta,Spring,5.0,Yes,Store Pickup,Yes,Yes,33,Debit Card,Fortnightly
7,8,27,Male,Shorts,Clothing,34,Louisiana,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly
2195,2196,58,Male,Jeans,Clothing,62,New York,Brown,Fall,3.7,No,Next Day Air,No,No,2,Cash,Monthly
3362,3363,50,Female,Handbag,Accessories,61,Tennessee,Gray,Summer,3.0,No,Next Day Air,No,No,48,Venmo,Fortnightly
2503,2504,69,Male,Boots,Footwear,77,Ohio,Violet,Summer,2.5,No,Store Pickup,No,No,5,Debit Card,Bi-Weekly
2092,2093,42,Male,Sandals,Footwear,45,Minnesota,Silver,Fall,2.6,No,Next Day Air,No,No,27,Bank Transfer,Weekly
2014,2015,51,Male,Skirt,Clothing,26,Wisconsin,Black,Summer,3.9,No,Standard,No,No,47,PayPal,Bi-Weekly
3045,3046,42,Female,Socks,Clothing,37,Florida,Black,Winter,4.6,No,2-Day Shipping,No,No,4,PayPal,Bi-Weekly
1688,1689,28,Male,Handbag,Accessories,26,Mississippi,Peach,Winter,3.0,No,Next Day Air,No,No,13,Venmo,Fortnightly
999,1000,50,Male,Socks,Clothing,28,New Mexico,Brown,Spring,2.9,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
3759,3760,44,Female,Sneakers,Footwear,61,Missouri,Pink,Spring,3.5,No,Store Pickup,No,No,30,Venmo,Quarterly
2712,2713,37,Female,Jacket,Outerwear,95,North Dakota,Brown,Fall,4.6,No,Standard,No,No,7,Debit Card,Quarterly
790,791,22,Male,Sweater,Clothing,37,Louisiana,Indigo,Summer,4.9,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Quarterly
1909,1910,50,Male,Sweater,Clothing,84,Kentucky,Black,Spring,4.3,No,Store Pickup,No,No,12,Credit Card,Monthly
1641,1642,50,Male,Hoodie,Clothing,32,Colorado,Violet,Summer,3.4,No,Free Shipping,Yes,Yes,1,Bank Transfer,Every 3 Months
3567,3568,32,Female,Scarf,Accessories,56,New Mexico,Silver,Summer,4.0,No,Next Day Air,No,No,26,Credit Card,Monthly
1422,1423,44,Male,Dress,Clothing,27,Texas,Charcoal,Fall,3.4,No,Free Shipping,Yes,Yes,3,PayPal,Bi-Weekly
1426,1427,60,Male,Pants,Clothing,38,Michigan,Yellow,Summer,4.8,No,Free Shipping,Yes,Yes,35,PayPal,Every 3 Months
96,97,32,Male,Gloves,Accessories,73,Delaware,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
43,44,25,Male,Scarf,Accessories,69,Ohio,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
1417,1418,62,Male,Shorts,Clothing,25,Montana,Brown,Spring,4.6,No,Standard,Yes,Yes,21,Debit Card,Fortnightly
1846,1847,68,Male,Scarf,Accessories,53,Wisconsin,Yellow,Summer,2.9,No,Standard,No,No,9,Venmo,Quarterly
759,760,51,Male,Dress,Clothing,49,Rhode Island,Green,Winter,2.6,Yes,Next Day Air,Yes,Yes,25,Credit Card,Fortnightly
1650,1651,60,Male,Scarf,Accessories,36,Arkansas,Silver,Winter,3.4,No,Next Day Air,Yes,Yes,46,Credit Card,Fortnightly
3678,3679,56,Female,Shirt,Clothing,45,Texas,Beige,Fall,3.5,No,Standard,No,No,29,Bank Transfer,Fortnightly
3188,3189,42,Female,Blouse,Clothing,59,Vermont,Lavender,Winter,3.5,No,Standard,No,No,39,Bank Transfer,Monthly
25,26,18,Male,Hoodie,Clothing,25,Texas,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
2244,2245,35,Male,Shorts,Clothing,37,South Carolina,Gold,Summer,4.8,No,2-Day Shipping,No,No,22,PayPal,Annually
3842,3843,35,Female,Jacket,Outerwear,84,Colorado,Lavender,Winter,4.2,No,Next Day Air,No,No,42,Debit Card,Monthly
679,680,56,Male,Sandals,Footwear,95,Michigan,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
1898,1899,59,Male,Pants,Clothing,97,Texas,Magenta,Fall,3.5,No,Next Day Air,No,No,25,Venmo,Monthly
3898,3899,44,Female,Shoes,Footwear,77,Minnesota,Brown,Summer,3.8,No,Express,No,No,24,Venmo,Weekly
781,782,30,Male,Scarf,Accessories,44,Vermont,Indigo,Winter,3.0,Yes,Store Pickup,Yes,Yes,12,Credit Card,Fortnightly
2628,2629,25,Male,Hoodie,Clothing,51,Wyoming,Silver,Summer,3.8,No,Next Day Air,No,No,42,Credit Card,Bi-Weekly
3538,3539,56,Female,Shoes,Footwear,63,Iowa,White,Spring,4.5,No,Store Pickup,No,No,21,Venmo,Monthly
1720,1721,25,Male,Shorts,Clothing,84,Massachusetts,Beige,Winter,2.8,No,Express,No,No,40,Debit Card,Bi-Weekly
3241,3242,50,Female,Handbag,Accessories,58,Connecticut,Lavender,Summer,4.4,No,Store Pickup,No,No,30,PayPal,Quarterly
1188,1189,68,Male,Blouse,Clothing,29,Mississippi,Magenta,Summer,3.3,No,Next Day Air,Yes,Yes,11,Credit Card,Weekly
1769,1770,32,Male,Socks,Clothing,75,Alaska,Brown,Winter,4.3,No,Free Shipping,No,No,45,Cash,Monthly
2402,2403,45,Male,Scarf,Accessories,89,Utah,Brown,Winter,3.8,No,Free Shipping,No,No,31,Cash,Weekly
654,655,24,Male,Handbag,Accessories,59,California,Gray,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,23,Venmo,Annually
2091,2092,26,Male,Jeans,Clothing,97,Washington,Beige,Fall,3.0,No,Next Day Air,No,No,24,Bank Transfer,Quarterly
883,884,28,Male,Sneakers,Footwear,37,Pennsylvania,Gold,Fall,4.3,Yes,Free Shipping,Yes,Yes,30,Bank Transfer,Monthly
3522,3523,27,Female,Pants,Clothing,85,New Jersey,Yellow,Spring,3.2,No,Store Pickup,No,No,13,Cash,Quarterly
67,68,45,Male,Coat,Outerwear,33,Connecticut,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
382,383,28,Male,Jeans,Clothing,76,California,Peach,Winter,3.2,Yes,Store Pickup,Yes,Yes,47,PayPal,Quarterly
2421,2422,37,Male,Sneakers,Footwear,46,Minnesota,Pink,Spring,4.6,No,Standard,No,No,2,Debit Card,Every 3 Months
3464,3465,36,Female,Coat,Outerwear,59,Utah,Peach,Winter,2.7,No,Next Day Air,No,No,12,PayPal,Annually
1268,1269,23,Male,Jacket,Outerwear,88,Idaho,Charcoal,Winter,2.9,No,Next Day Air,Yes,Yes,25,Debit Card,Bi-Weekly
2377,2378,44,Male,Blouse,Clothing,94,South Dakota,Magenta,Fall,4.0,No,Next Day Air,No,No,22,Cash,Annually
31,32,33,Male,Dress,Clothing,79,West Virginia,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
1448,1449,64,Male,Boots,Footwear,95,West Virginia,Black,Summer,3.6,No,Free Shipping,Yes,Yes,11,Credit Card,Every 3 Months
2282,2283,18,Male,Sneakers,Footwear,97,Idaho,Red,Fall,4.2,No,2-Day Shipping,No,No,8,Credit Card,Annually
2803,2804,46,Female,T-shirt,Clothing,44,Idaho,Violet,Winter,3.3,No,Free Shipping,No,No,31,Bank Transfer,Monthly
1061,1062,36,Male,Coat,Outerwear,62,Idaho,Gray,Summer,4.4,No,Free Shipping,Yes,Yes,12,Venmo,Every 3 Months
610,611,53,Male,Shorts,Clothing,72,Oklahoma,Charcoal,Summer,2.5,Yes,Free Shipping,Yes,Yes,27,Bank Transfer,Every 3 Months
3622,3623,46,Female,Dress,Clothing,41,Wisconsin,Purple,Fall,4.3,No,Store Pickup,No,No,12,Credit Card,Annually
570,571,65,Male,T-shirt,Clothing,99,Iowa,Purple,Fall,4.1,Yes,Standard,Yes,Yes,20,Cash,Annually
3610,3611,18,Female,Jacket,Outerwear,86,Texas,Green,Fall,4.8,No,2-Day Shipping,No,No,23,Bank Transfer,Fortnightly
1222,1223,58,Male,Jeans,Clothing,69,Indiana,Magenta,Fall,3.4,No,Store Pickup,Yes,Yes,27,Bank Transfer,Annually
343,344,27,Male,Sandals,Footwear,39,Nebraska,Purple,Summer,4.4,Yes,Next Day Air,Yes,Yes,26,Venmo,Monthly
3564,3565,60,Female,Gloves,Accessories,38,Illinois,Brown,Summer,4.4,No,Free Shipping,No,No,40,Venmo,Annually
1891,1892,69,Male,Jewelry,Accessories,74,New Hampshire,Gray,Summer,2.6,No,Next Day Air,No,No,48,Debit Card,Quarterly
678,679,27,Male,Blouse,Clothing,74,Maine,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months
1565,1566,58,Male,Sunglasses,Accessories,93,Idaho,Peach,Fall,4.2,No,Free Shipping,Yes,Yes,48,PayPal,Annually
2968,2969,26,Female,Sweater,Clothing,48,South Carolina,Gray,Fall,4.9,No,Express,No,No,25,Cash,Every 3 Months
879,880,62,Male,Skirt,Clothing,76,Wyoming,Lavender,Spring,4.1,Yes,Free Shipping,Yes,Yes,14,PayPal,Quarterly
3194,3195,43,Female,Sneakers,Footwear,52,Maryland,Gold,Summer,4.6,No,Standard,No,No,10,Credit Card,Bi-Weekly
3117,3118,43,Female,Hoodie,Clothing,50,Florida,Olive,Fall,3.0,No,Free Shipping,No,No,4,PayPal,Bi-Weekly
1071,1072,61,Male,Hat,Accessories,81,Pennsylvania,Beige,Summer,2.6,No,Express,Yes,Yes,46,Credit Card,Monthly
1910,1911,29,Male,Sandals,Footwear,38,New York,Yellow,Fall,3.8,No,Express,No,No,13,Debit Card,Quarterly
56,57,41,Male,Backpack,Accessories,73,Mississippi,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
3141,3142,36,Female,Sunglasses,Accessories,30,Mississippi,Peach,Winter,4.9,No,Express,No,No,47,Credit Card,Bi-Weekly
2045,2046,31,Male,Jewelry,Accessories,20,Georgia,Red,Fall,4.4,No,Express,No,No,26,PayPal,Quarterly
3821,3822,20,Female,Sneakers,Footwear,48,Oregon,Gold,Summer,4.6,No,Free Shipping,No,No,34,Credit Card,Every 3 Months
1537,1538,68,Male,Shoes,Footwear,89,Alaska,Black,Spring,3.2,No,Next Day Air,Yes,Yes,50,Venmo,Annually
1551,1552,64,Male,Handbag,Accessories,29,Minnesota,Olive,Summer,3.7,No,2-Day Shipping,Yes,Yes,13,Credit Card,Monthly
2880,2881,19,Female,Skirt,Clothing,61,Florida,Beige,Winter,4.8,No,Store Pickup,No,No,43,PayPal,Quarterly
576,577,48,Male,Hat,Accessories,68,Washington,Black,Winter,5.0,Yes,2-Day Shipping,Yes,Yes,5,Credit Card,Every 3 Months
978,979,56,Male,Gloves,Accessories,40,Colorado,Turquoise,Summer,2.5,Yes,Standard,Yes,Yes,33,Credit Card,Weekly
1084,1085,34,Male,T-shirt,Clothing,36,Arkansas,Purple,Fall,4.1,No,Next Day Air,Yes,Yes,48,Cash,Quarterly
1859,1860,54,Male,Belt,Accessories,26,New Jersey,Beige,Summer,3.7,No,Store Pickup,No,No,29,Debit Card,Fortnightly
965,966,43,Male,Boots,Footwear,55,Delaware,Black,Spring,5.0,Yes,Store Pickup,Yes,Yes,10,Credit Card,Annually
2456,2457,59,Male,Jeans,Clothing,83,Nebraska,Green,Winter,3.3,No,2-Day Shipping,No,No,5,PayPal,Monthly
528,529,34,Male,Sneakers,Footwear,88,Maryland,Beige,Winter,3.2,Yes,Express,Yes,Yes,40,Cash,Annually
176,177,53,Male,Backpack,Accessories,81,New Hampshire,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
